Finding diffusion kernel properties ,,,,
0, LED image , LCD image , camera setting , status 
1, 1 LED 255 , no LCD    , bayer          ,        
2, 1 LED 255 , no LCD    , NN             ,        
3, 1 LED 200 , no LCD    , bayer          ,        
4, 1 LED 200 , no LCD    , NN             ,        
5, 1 LED 150 , no LCD    , bayer          ,        
6, 1 LED 150 , no LCD    , NN             ,        
7, 1 LED 100 , no LCD    , bayer          ,        
8, 1 LED 100 , no LCD    , NN             ,        
9, 1 LED 50  , no LCD    , bayer          ,        
10, 1 LED 50  , no LCD    , NN             ,        
,,,,
Gamma curve calibration:,,,,
0, LED image    , LCD image , camera setting , status 
1, all LEDs 255 , no LCD    , bayer          ,        
2, all LEDs 255 , no LCD    , NN             ,        
3, all LEDs 200 , no LCD    , bayer          ,        
4, all LEDs 200 , no LCD    , NN             ,        
5, all LEDs 150 , no LCD    , bayer          ,        
6, all LEDs 150 , no LCD    , NN             ,        
7, all LEDs 100 , no LCD    , bayer          ,        
8, all LEDs 100 , no LCD    , NN             ,        
9, all LEDs 50  , no LCD    , bayer          ,        
10, all LEDs 50  , no LCD    , NN             ,        
11, all LEDs 255 ,255, bayer          ,        
12, all LEDs 255 ,255, NN             ,        
13, all LEDs 255 ,200, bayer          ,        
14, all LEDs 255 ,200, NN             ,        
15, all LEDs 255 ,150, bayer          ,        
16, all LEDs 255 ,150, NN             ,        
17, all LEDs 255 ,100, bayer          ,        
18, all LEDs 255 ,100, NN             ,        
19, all LEDs 255 ,50, bayer          ,        
20, all LEDs 255 ,50, NN             ,        
,,,,
RGB differences calibration:,,,,
0, LED image      , LCD image , camera setting , status 
1, all r LEDs 255 , no LCD    , bayer          ,        
2, all g LEDs 255 , no LCD    , bayer          ,        
3, all b LEDs 255 , no LCD    , bayer          ,        
4, all r LEDs 255 , no LCD    , NN             ,        
5, all g LEDs 255 , no LCD    , NN             ,        
6, all b LEDs 255 , no LCD    , NN             ,        
